repo_full_name,contributor_login,contributions,type
aio-libs/aiohttp,WisdomPill,6,User
aio-libs/aiohttp,taras-doba-ua,5,User
aio-libs/aiohttp,thijstriemstra,5,User
aio-libs/aiohttp,kornicameister,5,User
aio-libs/aiohttp,Willem de Groot,5,Anonymous
aio-libs/aiohttp,carlcarl,5,User
aio-libs/aiohttp,hh-h,5,User
aio-libs/aiohttp,vaskalas,5,User
aio-libs/aiohttp,djmitche,5,User
aio-libs/aiohttp,hubo1016,5,User
aio-libs/aiohttp,AMDmi3,5,User
aio-libs/aiohttp,hoh,5,User
aio-libs/aiohttp,Tolmachofof,5,User
aio-libs/aiohttp,nitori,5,User
aio-libs/aiohttp,eleddy,5,User
aio-libs/aiohttp,mpaolini,5,User
aio-libs/aiohttp,Eli Ribble,5,Anonymous
aio-libs/aiohttp,cbornet,5,User
aio-libs/aiohttp,kenballus,5,User
aio-libs/aiohttp,emlove,5,User
aio-libs/aiohttp,NewUserHa,5,User
aio-libs/aiohttp,balloob,5,User
aio-libs/aiohttp,Pavel Filatov,5,Anonymous
bottlepy/bottle,defnull,1437,User
bottlepy/bottle,sgala,44,User
bottlepy/bottle,oz123,37,User
bottlepy/bottle,avelino,27,User
bottlepy/bottle,iurisilvio,25,User
bottlepy/bottle,hartwork,13,User
bottlepy/bottle,fredj,12,User
bottlepy/bottle,sc68cal,12,User
bottlepy/bottle,myzhan,11,User
bottlepy/bottle,SergBobrovsky,10,User
bottlepy/bottle,eric-wieser,9,User
bottlepy/bottle,michael-k,9,User
bottlepy/bottle,agalera,8,User
bottlepy/bottle,Nicolas Vanhoren,8,Anonymous
bottlepy/bottle,foxx,5,User
bottlepy/bottle,provinzkraut,4,User
bottlepy/bottle,cclauss,4,Anonymous
bottlepy/bottle,ziadsawalha,4,User
bottlepy/bottle,Thiago Avelino,4,Anonymous
bottlepy/bottle,vaultah,4,User
bottlepy/bottle,jonashaag,4,User
bottlepy/bottle,FedericoCeratto,4,User
bottlepy/bottle,davidwtbuxton,4,User
bottlepy/bottle,babs,4,User
bottlepy/bottle,braedon,4,User
bottlepy/bottle,ifduyue,3,User
bottlepy/bottle,nayuki,3,User
bottlepy/bottle,Hanaasagi,3,User
bottlepy/bottle,zhangyoufu,3,User
bottlepy/bottle,sideffect0,3,User
bottlepy/bottle,cassiobotaro,3,User
